id,name,type,domain,mentionCount,mentions,sourceFile,attributeCount
JVM:Eden 区,Eden 区,堆结构实体,JVM,7,Eden 区 | Eden区,JVM.txt,0
JVM:static,static,代码与容器实体,JVM,7,static,JVM.txt,0
JVM:堆溢出,堆溢出,内存区域实体,JVM,7,堆溢出,JVM.txt,0
JVM:连接,连接,类加载过程实体,JVM,7,连接,JVM.txt,0
JVM:Java 堆,Java 堆,内存区域实体,JVM,6,Java 堆 | Java堆,JVM.txt,0
JVM:Java 虚拟机栈,Java 虚拟机栈,领域实体,JVM,6,Java 虚拟机栈 | Java虚拟机栈,JVM.txt,0
JVM:Major GC,Major GC,垃圾回收核心概念实体,JVM,6,Major GC | majorGC,JVM.txt,0
JVM:value,value,代码与容器实体,JVM,6,value,JVM.txt,0
JVM:可达性分析,可达性分析,垃圾回收核心概念实体,JVM,6,可达性分析,JVM.txt,0
JVM:对象引用,对象引用,栈与栈帧相关实体,JVM,6,对象引用,JVM.txt,0
JVM:强引用,强引用,引用类型实体,JVM,6,强引用,JVM.txt,0
JVM:数组,数组,对象与字符串相关实体,JVM,6,数组,JVM.txt,0
JVM:标记-整理算法,标记-整理算法,垃圾回收算法实体,JVM,6,标记-整理算法,JVM.txt,0
JVM:浮动垃圾,浮动垃圾,垃圾回收核心概念实体,JVM,6,浮动垃圾,JVM.txt,0
JVM:直接内存,直接内存,内存区域实体,JVM,6,直接内存,JVM.txt,0
JVM:程序计数器,程序计数器,内存区域实体,JVM,6,程序计数器,JVM.txt,0
JVM:类加载过程,类加载过程,领域实体,JVM,6,类加载过程,JVM.txt,0
JVM:转移阶段,转移阶段,垃圾回收算法实体,JVM,6,转移阶段,JVM.txt,1
JVM:StackOverFlowError,StackOverFlowError,异常与错误实体,JVM,5,StackOverFlowError | StackOverflowError,JVM.txt,0
JVM:Survivor 区,Survivor 区,堆结构实体,JVM,5,Survivor 区 | Survivor区,JVM.txt,0
JVM:key,key,代码与容器实体,JVM,5,key,JVM.txt,1
JVM:对象头,对象头,对象与字符串相关实体,JVM,5,对象头,JVM.txt,0
JVM:并发标记,并发标记,垃圾回收算法实体,JVM,5,并发标记,JVM.txt,0
JVM:扩展类加载器,扩展类加载器,领域实体,JVM,5,扩展类加载器,JVM.txt,0
JVM:标记-清除算法,标记-清除算法,垃圾回收算法实体,JVM,5,标记-清除算法,JVM.txt,0
JVM:清理阶段,清理阶段,垃圾回收算法实体,JVM,5,清理阶段,JVM.txt,0
JVM:类信息,类信息,方法区与元数据相关实体,JVM,5,类信息,JVM.txt,0
JVM:Entry,Entry,代码与容器实体,JVM,4,Entry,JVM.txt,0
JVM:finally,finally,代码与容器实体,JVM,4,finally,JVM.txt,0
JVM:准备,准备,类加载过程实体,JVM,4,准备,JVM.txt,0
JVM:初始标记,初始标记,垃圾回收算法实体,JVM,4,初始标记,JVM.txt,0
JVM:双亲委派模型,双亲委派模型,领域实体,JVM,4,双亲委派模型,JVM.txt,0
JVM:对象实例,对象实例,对象与字符串相关实体,JVM,4,对象实例,JVM.txt,0
JVM:操作数栈,操作数栈,栈与栈帧相关实体,JVM,4,操作数栈,JVM.txt,0
JVM:时间片,时间片,线程与私有性相关实体,JVM,4,时间片,JVM.txt,0
JVM:本地方法栈,本地方法栈,内存区域实体,JVM,4,本地方法栈,JVM.txt,0
JVM:自定义类加载器,自定义类加载器,领域实体,JVM,4,自定义类加载器,JVM.txt,0
JVM:运行时常量池,运行时常量池,内存区域实体,JVM,4,运行时常量池,JVM.txt,0
JVM:静态集合,静态集合,场景与问题实体,JVM,4,静态集合,JVM.txt,0
JVM:ParNew,ParNew,垃圾回收器实体,JVM,3,ParNew,JVM.txt,1
JVM:ThreadLocalMap,ThreadLocalMap,代码与容器实体,JVM,3,ThreadLocalMap,JVM.txt,0
JVM:Young GC,Young GC,垃圾回收核心概念实体,JVM,3,Young GC,JVM.txt,0
JVM:new 指令,new 指令,对象与字符串相关实体,JVM,3,new 指令 | new指令,JVM.txt,0
JVM:分代回收,分代回收,垃圾回收核心概念实体,JVM,3,分代回收 | 分代回收算法,JVM.txt,0
JVM:大堆内存,大堆内存,内存区域实体,JVM,3,大堆内存,JVM.txt,0
JVM:大对象区,大对象区,堆结构实体,JVM,3,大对象区,JVM.txt,0
JVM:字符串常量池,字符串常量池,对象与字符串相关实体,JVM,3,字符串常量池,JVM.txt,0
JVM:字面量,字面量,对象与字符串相关实体,JVM,3,字面量,JVM.txt,0
JVM:对象池,对象池,场景与问题实体,JVM,3,对象池,JVM.txt,0
JVM:指针,指针,栈与栈帧相关实体,JVM,3,指针,JVM.txt,0
JVM:无限递归,无限递归,场景与问题实体,JVM,3,无限递归,JVM.txt,0
JVM:本地内存,本地内存,内存区域实体,JVM,3,本地内存,JVM.txt,0
JVM:类初始化,类初始化,类加载过程实体,JVM,3,类初始化,JVM.txt,0
JVM:虚引用,虚引用,引用类型实体,JVM,3,虚引用,JVM.txt,0
JVM:-Xms,-Xms,JVM参数与配置实体,JVM,2,-Xms,JVM.txt,0
JVM:-Xmx,-Xmx,JVM参数与配置实体,JVM,2,-Xmx,JVM.txt,0
JVM:-Xss,-Xss,JVM参数与配置实体,JVM,2,-Xss,JVM.txt,0
JVM:ArrayList,ArrayList,代码与容器实体,JVM,2,ArrayList,JVM.txt,0
JVM:Bootstrap ClassLoader,Bootstrap ClassLoader,类加载器实体,JVM,2,Bootstrap ClassLoader,JVM.txt,0
JVM:Extension ClassLoader,Extension ClassLoader,类加载器实体,JVM,2,Extension ClassLoader,JVM.txt,0
JVM:Garbage Collection,Garbage Collection,垃圾回收核心概念实体,JVM,2,Garbage Collection,JVM.txt,0
JVM:Humongous Objects,Humongous Objects,堆结构实体,JVM,2,Humongous Objects,JVM.txt,0
JVM:JVM内存模型,JVM内存模型,领域实体,JVM,2,JVM内存模型,JVM.txt,0
JVM:Java heap space,Java heap space,异常与错误实体,JVM,2,Java heap space,JVM.txt,0
JVM:Metaspace,Metaspace,异常与错误实体,JVM,2,Metaspace,JVM.txt,0
JVM:NIO,NIO,工具与排查实体,JVM,2,NIO,JVM.txt,0
JVM:Native 方法,Native 方法,线程与私有性相关实体,JVM,2,Native 方法,JVM.txt,0
JVM:Old Generation,Old Generation,堆结构实体,JVM,2,Old Generation,JVM.txt,0
JVM:Parallel Scavenge,Parallel Scavenge,垃圾回收器实体,JVM,2,Parallel Scavenge,JVM.txt,0
JVM:S0,S0,堆结构实体,JVM,2,S0,JVM.txt,0
JVM:S1,S1,堆结构实体,JVM,2,S1,JVM.txt,0
JVM:System.gc,System.gc,领域实体,JVM,2,System.gc,JVM.txt,0
JVM:WeakReference,WeakReference,引用类型实体,JVM,2,WeakReference,JVM.txt,0
JVM:事件监听,事件监听,场景与问题实体,JVM,2,事件监听,JVM.txt,0
JVM:二进制字节流,二进制字节流,类加载过程实体,JVM,2,二进制字节流,JVM.txt,0
JVM:再标记,再标记,垃圾回收算法实体,JVM,2,再标记,JVM.txt,0
JVM:初始化零值,初始化零值,类加载过程实体,JVM,2,初始化零值,JVM.txt,0
JVM:初始标记阶段,初始标记阶段,垃圾回收算法实体,JVM,2,初始标记阶段,JVM.txt,1
JVM:动态链接,动态链接,栈与栈帧相关实体,JVM,2,动态链接,JVM.txt,0
JVM:单例,单例,代码与容器实体,JVM,2,单例,JVM.txt,0
JVM:堆外内存,堆外内存,内存区域实体,JVM,2,堆外内存,JVM.txt,0
JVM:复制阶段,复制阶段,垃圾回收算法实体,JVM,2,复制阶段,JVM.txt,0
JVM:大对象通,大对象通,对象与字符串相关实体,JVM,2,大对象通,JVM.txt,0
JVM:字符串对象,字符串对象,对象与字符串相关实体,JVM,2,字符串对象,JVM.txt,0
JVM:局部变量表,局部变量表,栈与栈帧相关实体,JVM,2,局部变量表,JVM.txt,0
JVM:常量池缓存,常量池缓存,方法区与元数据相关实体,JVM,2,常量池缓 | 常量池缓存,JVM.txt,0
JVM:应用程序类加载器,应用程序类加载器,领域实体,JVM,2,应用程序类加载器,JVM.txt,0
JVM:引用计数法,引用计数法,垃圾回收核心概念实体,JVM,2,引用计数法,JVM.txt,0
JVM:指令地址,指令地址,线程与私有性相关实体,JVM,2,指令地址,JVM.txt,0
JVM:方法出口,方法出口,栈与栈帧相关实体,JVM,2,方法出口,JVM.txt,0
JVM:方法字节码,方法字节码,方法区与元数据相关实体,JVM,2,方法字节码,JVM.txt,0
JVM:方法返回地址,方法返回地址,栈与栈帧相关实体,JVM,2,方法返回地址,JVM.txt,0
JVM:栈帧创建,栈帧创建,栈与栈帧相关实体,JVM,2,栈帧创建,JVM.txt,0
JVM:类加载检查,类加载检查,领域实体,JVM,2,类加载检查,JVM.txt,0
JVM:类的元数据信息,类的元数据信息,方法区与元数据相关实体,JVM,2,类的元数据信息,JVM.txt,0
JVM:缓存系统,缓存系统,场景与问题实体,JVM,2,缓存系统,JVM.txt,0
JVM:软引用,软引用,引用类型实体,JVM,2,软引用,JVM.txt,0
JVM:重定位阶段,重定位阶段,垃圾回收算法实体,JVM,2,重定位阶段,JVM.txt,0
JVM:-XX:+HeapDumpOnOutOfMemoryError,-XX:+HeapDumpOnOutOfMemoryError,JVM参数与配置实体,JVM,1,-XX:+HeapDumpOnOutOfMemoryError,JVM.txt,0
JVM:-XX:HeapDumpPath,-XX:HeapDumpPath,JVM参数与配置实体,JVM,1,-XX:HeapDumpPath,JVM.txt,0
JVM:-XX:MaxTenuringThreshold,-XX:MaxTenuringThreshold,JVM参数与配置实体,JVM,1,-XX:MaxTenuringThreshold,JVM.txt,0
JVM:ClassFormatError,ClassFormatError,异常与错误实体,JVM,1,ClassFormatError,JVM.txt,0
JVM:Concurrent Mark Sweep,Concurrent Mark Sweep,垃圾回收器实体,JVM,1,Concurrent Mark Sweep,JVM.txt,0
JVM:Concurrent Mode Failure,Concurrent Mode Failure,异常与错误实体,JVM,1,Concurrent Mode Failure,JVM.txt,0
JVM:Direct buffer memory,Direct buffer memory,异常与错误实体,JVM,1,Direct buffer memory,JVM.txt,0
JVM:From Survivor,From Survivor,堆结构实体,JVM,1,From Survivor,JVM.txt,0
JVM:GC 分代年龄,GC 分代年龄,对象与字符串相关实体,JVM,1,GC 分代年龄,JVM.txt,0
JVM:Garbage First,Garbage First,垃圾回收器实体,JVM,1,Garbage First,JVM.txt,0
JVM:HashMap,HashMap,代码与容器实体,JVM,1,HashMap,JVM.txt,0
JVM:HeapDumpOnOutOfMemoryError,HeapDumpOnOutOfMemoryError,工具与排查实体,JVM,1,HeapDumpOnOutOfMemoryError,JVM.txt,0
JVM:HeapDumpPath,HeapDumpPath,工具与排查实体,JVM,1,HeapDumpPath,JVM.txt,0
JVM:JProfiler,JProfiler,工具与排查实体,JVM,1,JProfiler,JVM.txt,0
JVM:JavaNIO,JavaNIO,工具与排查实体,JVM,1,JavaNIO,JVM.txt,0
JVM:MAT,MAT,工具与排查实体,JVM,1,MAT,JVM.txt,0
JVM:Memory Analyzer Tool,Memory Analyzer Tool,工具与排查实体,JVM,1,Memory Analyzer Tool,JVM.txt,0
JVM:Parallel Old,Parallel Old,垃圾回收器实体,JVM,1,Parallel Old,JVM.txt,0
JVM:PhantomReference,PhantomReference,引用类型实体,JVM,1,PhantomReference,JVM.txt,0
JVM:Reachability Analysis,Reachability Analysis,垃圾回收核心概念实体,JVM,1,Reachability Analysis,JVM.txt,0
JVM:ReferenceQueue,ReferenceQueue,引用类型实体,JVM,1,ReferenceQueue,JVM.txt,0
JVM:Serial Old,Serial Old,垃圾回收器实体,JVM,1,Serial Old,JVM.txt,0
JVM:Shenandoah,Shenandoah,垃圾回收器实体,JVM,1,Shenandoah,JVM.txt,0
JVM:SoftReference,SoftReference,引用类型实体,JVM,1,SoftReference,JVM.txt,0
JVM:Stop The World,Stop The World,垃圾回收核心概念实体,JVM,1,Stop The World,JVM.txt,0
JVM:Tenured Generation,Tenured Generation,堆结构实体,JVM,1,Tenured Generation,JVM.txt,0
JVM:To Survivor,To Survivor,堆结构实体,JVM,1,To Survivor,JVM.txt,0
JVM:VerifyError,VerifyError,异常与错误实体,JVM,1,VerifyError,JVM.txt,0
JVM:VisualVM,VisualVM,工具与排查实体,JVM,1,VisualVM,JVM.txt,0
JVM:Young Generation,Young Generation,堆结构实体,JVM,1,Young Generation,JVM.txt,0
JVM:ZGC,ZGC,垃圾回收器实体,JVM,1,ZGC,JVM.txt,0
JVM:class文件,class文件,类加载过程实体,JVM,1,class文件,JVM.txt,0
JVM:heapdump.hprof,heapdump.hprof,工具与排查实体,JVM,1,heapdump.hprof,JVM.txt,0
JVM:netty,netty,工具与排查实体,JVM,1,netty,JVM.txt,0
JVM:try-with-resources,try-with-resources,代码与容器实体,JVM,1,try-with-resources,JVM.txt,0
JVM:临时数据,临时数据,栈与栈帧相关实体,JVM,1,临时数据,JVM.txt,0
JVM:优化方法栈帧,优化方法栈帧,栈与栈帧相关实体,JVM,1,优化方法栈帧,JVM.txt,0
JVM:元空间溢出,元空间溢出,内存区域实体,JVM,1,元空间溢出,JVM.txt,0
JVM:全限定名,全限定名,类加载过程实体,JVM,1,全限定名,JVM.txt,0
JVM:再标记阶段,再标记阶段,垃圾回收算法实体,JVM,1,再标记阶段,JVM.txt,0
JVM:分批处理,分批处理,场景与问题实体,JVM,1,分批处理,JVM.txt,0
JVM:加载该类,加载该类,类加载过程实体,JVM,1,加载该类,JVM.txt,0
JVM:加载阶段,加载阶段,类加载过程实体,JVM,1,加载阶段,JVM.txt,1
JVM:即时编译器编译后的代码缓存,即时编译器编译后的代码缓存,方法区与元数据相关实体,JVM,1,即时编译器编译后的代码缓存,JVM.txt,0
JVM:垃圾对象,垃圾对象,垃圾回收核心概念实体,JVM,1,垃圾对象,JVM.txt,0
JVM:堆内存溢,堆内存溢,内存区域实体,JVM,1,堆内存溢,JVM.txt,0
JVM:幻影引用,幻影引用,引用类型实体,JVM,1,幻影引用,JVM.txt,0
JVM:弱引用可,弱引用可,引用类型实体,JVM,1,弱引用可,JVM.txt,0
JVM:弱引用的使用场景,弱引用的使用场景,引用类型实体,JVM,1,弱引用的使用场景,JVM.txt,0
JVM:强引用指,强引用指,引用类型实体,JVM,1,强引用指,JVM.txt,0
JVM:懒加载,懒加载,类加载过程实体,JVM,1,懒加载,JVM.txt,0
JVM:批量处理任务,批量处理任务,场景与问题实体,JVM,1,批量处理任务,JVM.txt,0
JVM:方法区运行时的数据结构,方法区运行时的数据结构,内存区域实体,JVM,1,方法区运行时的数据结构,JVM.txt,0
JVM:最后是初始化阶段,最后是初始化阶段,类加载过程实体,JVM,1,最后是初始化阶段,JVM.txt,0
JVM:树形结构遍历,树形结构遍历,场景与问题实体,JVM,1,树形结构遍历,JVM.txt,0
JVM:深度递归,深度递归,场景与问题实体,JVM,1,深度递归,JVM.txt,0
JVM:简化了加载流程,简化了加载流程,类加载过程实体,JVM,1,简化了加载流程,JVM.txt,0
JVM:类加载机制,类加载机制,领域实体,JVM,1,类加载机制,JVM.txt,0
JVM:类型信息,类型信息,方法区与元数据相关实体,JVM,1,类型信息,JVM.txt,0
JVM:线程共享,线程共享,线程与私有性相关实体,JVM,1,线程共享,JVM.txt,0
JVM:虚引用也,虚引用也,引用类型实体,JVM,1,虚引用也,JVM.txt,0
JVM:解析方法,解析方法,类加载过程实体,JVM,1,解析方法,JVM.txt,0
JVM:解析方法调用,解析方法调用,栈与栈帧相关实体,JVM,1,解析方法调用,JVM.txt,0
JVM:软引用可,软引用可,引用类型实体,JVM,1,软引用可,JVM.txt,0
JVM:遇到堆溢,遇到堆溢,内存区域实体,JVM,1,遇到堆溢,JVM.txt,0
JVM:静态存储结构,静态存储结构,类加载过程实体,JVM,1,静态存储结构,JVM.txt,0
JVM:首先是加载阶段,首先是加载阶段,类加载过程实体,JVM,1,首先是加载阶段,JVM.txt,0
cn:TCP,TCP,协议实体,cn,45,TCP,cn.txt,0
cn:HTTP,HTTP,协议实体,cn,39,HTTP,cn.txt,0
cn:服务器,服务器,服务器与网络组件实体,cn,31,服务器,cn.txt,0
cn:UDP,UDP,协议实体,cn,24,UDP,cn.txt,0
cn:DNS,DNS,协议实体,cn,19,DNS,cn.txt,0
cn:应用层,应用层,层级结构实体,cn,15,应用层,cn.txt,0
cn:客户端,客户端,服务器与网络组件实体,cn,14,客户端,cn.txt,0
cn:网络层,网络层,层级结构实体,cn,14,网络层,cn.txt,0
cn:传输层,传输层,层级结构实体,cn,12,传输层,cn.txt,0
cn:HTTPS,HTTPS,协议实体,cn,10,HTTPS,cn.txt,0
cn:URL,URL,地址与标识实体,cn,10,URL,cn.txt,0
cn:加密,加密,概念与特性实体,cn,9,加密,cn.txt,0
cn:Cookie,Cookie,机制与技术实体,cn,8,Cookie,cn.txt,0
cn:IPv6,IPv6,协议实体,cn,8,IPv6,cn.txt,0
cn:NAT,NAT,协议实体,cn,8,NAT,cn.txt,0
cn:Session,Session,机制与技术实体,cn,8,Session,cn.txt,0
cn:域名,域名,地址与标识实体,cn,8,域名,cn.txt,0
cn:ACK,ACK,报文字段与状态实体,cn,7,ACK,cn.txt,0
cn:ARP,ARP,协议实体,cn,7,ARP | arp,cn.txt,0
cn:IPv4,IPv4,协议实体,cn,7,IPv4,cn.txt,0
cn:DHCP,DHCP,协议实体,cn,6,DHCP,cn.txt,0
cn:OSI,OSI,模型与体系结构实体,cn,6,OSI,cn.txt,0
cn:FTP,FTP,协议实体,cn,5,FTP,cn.txt,0
cn:ICMP,ICMP,协议实体,cn,5,ICMP,cn.txt,0
cn:QUIC,QUIC,协议实体,cn,5,QUIC,cn.txt,0
cn:RTT,RTT,版本端口与数值实体,cn,5,RTT,cn.txt,0
cn:SMTP,SMTP,协议实体,cn,5,SMTP,cn.txt,0
cn:SessionID,SessionID,地址与标识实体,cn,5,SessionID | sessionid,cn.txt,0
cn:URI,URI,地址与标识实体,cn,5,URI,cn.txt,0
cn:数据包,数据包,报文字段与状态实体,cn,5,数据包,cn.txt,0
cn:无状态,无状态,概念与特性实体,cn,5,无状态,cn.txt,0
cn:HTTP/2,HTTP/2,协议实体,cn,4,HTTP/2,cn.txt,0
cn:Host,Host,报文字段与状态实体,cn,4,Host,cn.txt,0
cn:MAC 地址,MAC 地址,地址与标识实体,cn,4,MAC 地址,cn.txt,0
cn:三次握手,三次握手,机制与技术实体,cn,4,三次握手,cn.txt,0
cn:主机,主机,服务器与网络组件实体,cn,4,主机,cn.txt,0
cn:四次挥手,四次挥手,机制与技术实体,cn,4,四次挥手,cn.txt,0
cn:头部压缩,头部压缩,机制与技术实体,cn,4,头部压缩,cn.txt,0
cn:帧,帧,报文字段与状态实体,cn,4,帧,cn.txt,0
cn:广播,广播,概念与特性实体,cn,4,广播,cn.txt,0
cn:序列号,序列号,机制与技术实体,cn,4,序列号,cn.txt,0
cn:文件传输,文件传输,场景与应用实体,cn,4,文件传输,cn.txt,0
cn:浏览器,浏览器,服务器与网络组件实体,cn,4,浏览器,cn.txt,0
cn:网络接口层,网络接口层,层级结构实体,cn,4,网络接口层,cn.txt,0
cn:队头阻塞,队头阻塞,概念与特性实体,cn,4,队头阻塞,cn.txt,0
cn:BGP,BGP,协议实体,cn,3,BGP,cn.txt,0
cn:HTTP/3,HTTP/3,协议实体,cn,3,HTTP/3,cn.txt,0
cn:IMAP,IMAP,协议实体,cn,3,IMAP,cn.txt,0
cn:IP 地址,IP 地址,地址与标识实体,cn,3,IP 地址,cn.txt,0
cn:NTP,NTP,协议实体,cn,3,NTP,cn.txt,0
cn:OSPF,OSPF,协议实体,cn,3,OSPF,cn.txt,0
cn:PING,PING,工具与命令实体,cn,3,PING,cn.txt,0
cn:POP3,POP3,协议实体,cn,3,POP3,cn.txt,0
cn:RIP,RIP,协议实体,cn,3,RIP,cn.txt,0
cn:SNMP,SNMP,协议实体,cn,3,SNMP,cn.txt,0
cn:SSE,SSE,协议实体,cn,3,SSE,cn.txt,0
cn:SSH,SSH,协议实体,cn,3,SSH,cn.txt,0
cn:Telnet,Telnet,协议实体,cn,3,Telnet,cn.txt,0
cn:WebSocket,WebSocket,协议实体,cn,3,WebSocket,cn.txt,0
cn:会话层,会话层,层级结构实体,cn,3,会话层,cn.txt,0
cn:单播,单播,概念与特性实体,cn,3,单播,cn.txt,0
cn:可靠传输,可靠传输,概念与特性实体,cn,3,可靠传输,cn.txt,0
cn:在线游戏,在线游戏,场景与应用实体,cn,3,在线游戏,cn.txt,0
cn:实时音视频,实时音视频,场景与应用实体,cn,3,实时音视频,cn.txt,0
cn:拥塞控制,拥塞控制,机制与技术实体,cn,3,拥塞控制,cn.txt,0
cn:数据链路层,数据链路层,层级结构实体,cn,3,数据链路层,cn.txt,0
cn:服务器推送,服务器推送,机制与技术实体,cn,3,服务器推送,cn.txt,0
cn:流量控制,流量控制,机制与技术实体,cn,3,流量控制,cn.txt,0
cn:物理层,物理层,层级结构实体,cn,3,物理层,cn.txt,0
cn:表示层,表示层,层级结构实体,cn,3,表示层,cn.txt,0
cn:超时重传,超时重传,机制与技术实体,cn,3,超时重传,cn.txt,0
cn:远程登录,远程登录,场景与应用实体,cn,3,远程登录,cn.txt,0
cn:连接迁移,连接迁移,机制与技术实体,cn,3,连接迁移,cn.txt,0
cn:邮件收发,邮件收发,场景与应用实体,cn,3,邮件收发,cn.txt,0
cn:长连接,长连接,概念与特性实体,cn,3,长连接,cn.txt,0
cn:FIN,FIN,报文字段与状态实体,cn,2,FIN,cn.txt,0
cn:HPACK,HPACK,机制与技术实体,cn,2,HPACK,cn.txt,0
cn:HTTP/1.1,HTTP/1.1,协议实体,cn,2,HTTP/1.1,cn.txt,0
cn:JWT,JWT,机制与技术实体,cn,2,JWT,cn.txt,0
cn:RTCP,RTCP,协议实体,cn,2,RTCP,cn.txt,0
cn:RTP,RTP,协议实体,cn,2,RTP,cn.txt,0
cn:Wi-Fi,Wi-Fi,协议实体,cn,2,Wi-Fi,cn.txt,0
cn:二进制帧,二进制帧,报文字段与状态实体,cn,2,二进制帧,cn.txt,0
cn:公网 IP,公网 IP,地址与标识实体,cn,2,公网 IP,cn.txt,0
cn:分布式,分布式,概念与特性实体,cn,2,分布式,cn.txt,0
cn:多路复用,多路复用,机制与技术实体,cn,2,多路复用,cn.txt,0
cn:字节流,字节流,报文字段与状态实体,cn,2,字节流,cn.txt,0
cn:幂等性,幂等性,概念与特性实体,cn,2,幂等性,cn.txt,0
cn:报头简化,报头简化,报文字段与状态实体,cn,2,报头简化,cn.txt,0
cn:报文,报文,报文字段与状态实体,cn,2,报文,cn.txt,0
cn:支持断点续传,支持断点续传,概念与特性实体,cn,2,支持断点续传,cn.txt,0
cn:故障排查,故障排查,场景与应用实体,cn,2,故障排查,cn.txt,0
cn:断点续传,断点续传,概念与特性实体,cn,2,断点续传,cn.txt,0
cn:本地 DNS 服务器,本地 DNS 服务器,服务器与网络组件实体,cn,2,本地 DNS 服务器,cn.txt,0
cn:比特流,比特流,报文字段与状态实体,cn,2,比特流,cn.txt,0
cn:短连接,短连接,概念与特性实体,cn,2,短连接,cn.txt,0
cn:虚拟主机,虚拟主机,概念与特性实体,cn,2,虚拟主机,cn.txt,0
cn:路由与寻址,路由与寻址,机制与技术实体,cn,2,路由与寻址,cn.txt,0
cn:ARP 缓存,ARP 缓存,机制与技术实体,cn,1,ARP 缓存,cn.txt,0
cn:Cache-Control,Cache-Control,报文字段与状态实体,cn,1,Cache-Control,cn.txt,0
