main_entity,entity_type,mention_count,mentions,source_file
URI,地址与标识实体,5,URI,cn.txt
Token,机制与技术实体,1,Token,cn.txt
JWT,机制与技术实体,2,JWT,cn.txt
微服务,概念与特性实体,1,微服务,cn.txt
幂等性,概念与特性实体,2,幂等性,cn.txt
SSE,协议实体,3,SSE,cn.txt
WebSocket,协议实体,3,WebSocket,cn.txt
全双工,概念与特性实体,1,全双工,cn.txt
弹幕,场景与应用实体,1,弹幕,cn.txt
实时聊天,场景与应用实体,1,实时聊天,cn.txt
协同编辑,场景与应用实体,1,协同编辑,cn.txt
根 DNS 服务器,服务器与网络组件实体,1,根 DNS 服务器,cn.txt
顶级域服务器,服务器与网络组件实体,1,顶级域服务器,cn.txt
权威 DNS 服务器,服务器与网络组件实体,1,权威 DNS 服务器,cn.txt
本地 DNS 服务器,服务器与网络组件实体,2,本地 DNS 服务器,cn.txt
浏览器,服务器与网络组件实体,4,浏览器,cn.txt
路由器,服务器与网络组件实体,1,路由器,cn.txt
TLD 服务器,服务器与网络组件实体,1,TLD 服务器,cn.txt
DNS 劫持,机制与技术实体,1,DNS 劫持,cn.txt
DoH,机制与技术实体,1,DoH,cn.txt
DoT,机制与技术实体,1,DoT,cn.txt
页面展示,场景与应用实体,1,页面展示,cn.txt
SYN,报文字段与状态实体,1,SYN,cn.txt
ARP 缓存,机制与技术实体,1,ARP 缓存,cn.txt
tracert,工具与命令实体,1,tracert,cn.txt
nslookup,工具与命令实体,1,nslookup,cn.txt
