main_entity,entity_type,mention_count,mentions,source_file
二进制字节流,类加载过程实体,2,二进制字节流,JVM.txt
静态存储结构,类加载过程实体,1,静态存储结构,JVM.txt
方法区运行时的数据结构,内存区域实体,1,方法区运行时的数据结构,JVM.txt
Class 对象,类加载过程实体,7,Class 对象 | Class对象,JVM.txt
加载该类,类加载过程实体,1,加载该类,JVM.txt
加载阶段,类加载过程实体,1,加载阶段,JVM.txt
首先是加载阶段,类加载过程实体,1,首先是加载阶段,JVM.txt
ClassFormatError,异常与错误实体,1,ClassFormatError,JVM.txt
VerifyError,异常与错误实体,1,VerifyError,JVM.txt
最后是初始化阶段,类加载过程实体,1,最后是初始化阶段,JVM.txt
System.gc,领域实体,2,System.gc,JVM.txt
引用计数法,垃圾回收核心概念实体,2,引用计数法,JVM.txt
可达性分析,垃圾回收核心概念实体,6,可达性分析,JVM.txt
Reachability Analysis,垃圾回收核心概念实体,1,Reachability Analysis,JVM.txt
GC Roots,垃圾回收核心概念实体,11,GC Roots,JVM.txt
复制算法,垃圾回收算法实体,16,复制算法,JVM.txt
Serial,垃圾回收器实体,8,Serial,JVM.txt
CMS,垃圾回收器实体,17,CMS,JVM.txt
ZGC,垃圾回收器实体,1,ZGC,JVM.txt
Shenandoah,垃圾回收器实体,1,Shenandoah,JVM.txt
标记-清除算法,垃圾回收算法实体,5,标记-清除算法,JVM.txt
分代回收,垃圾回收核心概念实体,2,分代回收,JVM.txt
标记-整理算法,垃圾回收算法实体,6,标记-整理算法,JVM.txt
分代回收算法,垃圾回收核心概念实体,1,分代回收算法,JVM.txt
-XX:MaxTenuringThreshold,JVM参数与配置实体,1,-XX:MaxTenuringThreshold,JVM.txt
ParNew,垃圾回收器实体,3,ParNew,JVM.txt
Parallel Scavenge,垃圾回收器实体,2,Parallel Scavenge,JVM.txt
Serial Old,垃圾回收器实体,1,Serial Old,JVM.txt
Parallel Old,垃圾回收器实体,1,Parallel Old,JVM.txt
Concurrent Mark Sweep,垃圾回收器实体,1,Concurrent Mark Sweep,JVM.txt
Garbage First,垃圾回收器实体,1,Garbage First,JVM.txt
标记阶段,垃圾回收算法实体,10,标记阶段,JVM.txt
转移阶段,垃圾回收算法实体,6,转移阶段,JVM.txt
初始标记,垃圾回收算法实体,4,初始标记,JVM.txt
并发标记,垃圾回收算法实体,5,并发标记,JVM.txt
重定位阶段,垃圾回收算法实体,2,重定位阶段,JVM.txt
清理阶段,垃圾回收算法实体,5,清理阶段,JVM.txt
Young GC,垃圾回收核心概念实体,3,Young GC,JVM.txt
复制阶段,垃圾回收算法实体,2,复制阶段,JVM.txt
初始标记阶段,垃圾回收算法实体,2,初始标记阶段,JVM.txt
STW,垃圾回收核心概念实体,8,STW,JVM.txt
再标记,垃圾回收算法实体,2,再标记,JVM.txt
再标记阶段,垃圾回收算法实体,1,再标记阶段,JVM.txt
垃圾对象,垃圾回收核心概念实体,1,垃圾对象,JVM.txt
Stop The World,垃圾回收核心概念实体,1,Stop The World,JVM.txt
浮动垃圾,垃圾回收核心概念实体,6,浮动垃圾,JVM.txt
Concurrent Mode Failure,异常与错误实体,1,Concurrent Mode Failure,JVM.txt
