main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
Survivor 区,堆结构实体,5,Survivor 区 | Survivor区,JVM.txt,Survivor 区,Survivor 区 | Survivor区,全文 | 使用ThreadLocal,Survivor 区,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Survivor 区；章节=全文|使用ThreadLocal
key,代码与容器实体,5,key,JVM.txt,key,key,全文 | 使用ThreadLocal,key,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=key；章节=全文|使用ThreadLocal
对象头,对象与字符串相关实体,5,对象头,JVM.txt,对象头,对象头,使用ThreadLocal,对象头,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=对象头；章节=使用ThreadLocal
并发标记,垃圾回收算法实体,5,并发标记,JVM.txt,并发标记,并发标记,使用ThreadLocal,并发标记,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=并发标记；章节=使用ThreadLocal
扩展类加载器,领域实体,5,扩展类加载器,JVM.txt,扩展类加载器,扩展类加载器,使用ThreadLocal,扩展类加载器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=扩展类加载器；章节=使用ThreadLocal
标记-清除算法,垃圾回收算法实体,5,标记-清除算法,JVM.txt,标记-清除算法,标记-清除算法,使用ThreadLocal,标记-清除算法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=标记-清除算法；章节=使用ThreadLocal
清理阶段,垃圾回收算法实体,5,清理阶段,JVM.txt,清理阶段,清理阶段,使用ThreadLocal,清理阶段,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=清理阶段；章节=使用ThreadLocal
类信息,方法区与元数据相关实体,5,类信息,JVM.txt,类信息,类信息,全文 | 使用ThreadLocal,类信息,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类信息；章节=全文|使用ThreadLocal
Entry,代码与容器实体,4,Entry,JVM.txt,Entry,Entry,使用ThreadLocal,Entry,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Entry；章节=使用ThreadLocal
finally,代码与容器实体,4,finally,JVM.txt,finally,finally,未关闭的资源 | 使用ThreadLocal,finally,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=finally；章节=未关闭的资源|使用ThreadLocal
准备,类加载过程实体,4,准备,JVM.txt,准备,准备,使用ThreadLocal,准备,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=准备；章节=使用ThreadLocal
